Lung_weight,Lung_weight_x_100,Mouse_ID,Day.x,Eotaxin (74),G-CSF (54),GM-CSF (73),IFNg (34),IL-10 (56),IL-12p40 (76),IL-12p70 (78),IL-13 (37),IL-17A (72),IL-1a (53),IL-1b (19),IL-2 (36),IL-3 (18),IL-4 (39),IL-5 (52),IL-6 (38),IL-9 (33),KC (57),MCP-1 (51),MIP-1B (75),MIP-1a (77),RANTES (55),TNFa (21),Day.y,BAL Cell counts,Hysteresis,BAL protein,Viral Burden,Days,Day 3,Day 4,Day 5,Day 7,Day 8
32.8,0.0328,42,4,7085.365854,242.9878049,0,276.5243902,122.8658537,1812.5,2593.597561,570.1219512,101.2195122,221.9512195,40.54878049,178.0487805,35.36585366,38.7195122,85.67073171,379.8780488,307.3170732,1153.658537,8258.841463,1747.256098,257.0121951,11875.60976,432.0121951,Day 4,40000,1.153486142,369.5833333,330.8454499,Day 4,111.7241379,112.4137931,0,0,0
34.3,0.0343,43,4,9602.915452,453.3527697,0,284.2565598,234.1107872,5891.836735,2543.440233,352.4781341,92.71137026,260.058309,42.85714286,187.4635569,23.03206997,61.80758017,99.12536443,478.7172012,309.0379009,893.877551,13543.73178,2996.793003,815.451895,19718.36735,341.9825073,Day 4,480000,0.64603022,330.4166667,1588439.078,Day 4,114.4827586,115.862069,0,0,0
9.5,0.0095,44,4,10871.57895,838.9473684,0,792.6315789,498.9473684,9729.473684,7430.526316,1451.578947,349.4736842,1134.736842,140,552.6315789,83.15789474,145.2631579,210.5263158,1255.789474,468.4210526,3186.315789,28514.73684,8868.421053,2088.421053,46858.94737,1662.105263,Day 4,NA,1.392501764,NA,5826304.516,Day 4,111.9496855,113.2075472,0,0,0
37.3,0.0373,45,4,3113.136729,326.8096515,0,238.6058981,295.9785523,1872.922252,2280.697051,544.2359249,77.74798928,302.4128686,27.88203753,148.5254692,35.92493298,56.83646113,96.51474531,343.4316354,0,1262.198391,8302.412869,2469.97319,356.0321716,12780.16086,466.2198391,Day 4,180000,1.033900324,274.5833333,223075154.4,Day 4,111.1888112,116.7832168,0,0,0
27.8,0.0278,46,5,4307.194245,413.6690647,0,283.0935252,310.7913669,3298.920863,2852.158273,243.1654676,61.8705036,323.0215827,47.84172662,111.1510791,61.51079137,53.5971223,122.3021583,791.3669065,0,1606.115108,11260.43165,5024.460432,847.8417266,24815.10791,567.9856115,Day 5,630000,1.240735563,494.1666667,34738.69858,Day 5,107.5757576,110.6060606,115.1515152,0,0
45.9,0.0459,47,5,7241.394336,205.0108932,207.6252723,266.8845316,302.3965142,2403.267974,2184.095861,372.3311547,68.19172113,178.6492375,47.7124183,114.379085,29.19389978,50.76252723,52.50544662,377.9956427,208.0610022,776.0348584,6746.840959,2996.732026,496.0784314,21216.55773,413.7254902,Day 5,60000,1.637620352,176.25,0.299469033,Day 5,110.6145251,113.9664804,115.0837989,0,0
20,0.02,48,5,4790.5,170,0,271.5,0,1627,2766,772.5,147,261.5,22,186,48.5,52.5,160,411.5,0,1189,493.5,1951,287.5,9240.5,627.5,Day 5,80000,1.189091579,114.1666667,1643427.115,Day 5,109.6774194,112.9032258,114.8387097,0,0
43.5,0.0435,49,5,2590.344828,248.5057471,0,173.1034483,0,1673.563218,1103.448276,238.1609195,47.12643678,118.6206897,17.01149425,63.67816092,22.29885057,24.13793103,27.35632184,243.6781609,0,895.1724138,5427.816092,1204.367816,225.7471264,5749.195402,174.4827586,Day 5,480000,1.37800904,256.25,550143.5093,Day 5,109.4674556,112.4260355,117.1597633,0,0
34.9,0.0349,50,5,3997.421203,142.9799427,0,98.56733524,0,2096.561605,1291.117479,193.6962751,38.68194842,83.66762178,21.2034384,20.91690544,22.63610315,13.46704871,51.57593123,259.5988539,0,504.5845272,4044.985673,1595.702006,220.6303725,8908.309456,265.3295129,Day 5,400000,1.339368257,145.8333333,4576.408598,Day 5,108.7179487,112.3076923,114.8717949,0,0
29.3,0.0293,51,5,4674.744027,686.0068259,0,221.5017065,0,3740.614334,1863.139932,470.6484642,60.40955631,288.7372014,74.7440273,72.35494881,26.96245734,27.98634812,75.42662116,407.1672355,0,2817.064846,14582.25256,6499.658703,1158.361775,10250.85324,316.0409556,Day 5,80000,1.034312749,187.5,2.86E-08,Day 5,112.4137931,118.6206897,120.6896552,0,0
